Respuesta,Frecuencia,Asociación
público,1,0.05
destinar,1,0.05
masculino,1,0.05
edad,1,0.05
persona,1,0.05
ejemplo,1,0.05
sexo,1,0.05
gente,1,0.05
totalmente,1,0.05
conservador,1,0.05
discapacidad,1,0.05
básicamente,1,0.05
raro,1,0.05
gusto,1,0.05
revolución,1,0.05
comercial,1,0.05
antipornográfico,1,0.05
enanosas,1,0.05
obesasos,1,0.05
merced,1,0.05
